,probability
0,0.23017686965421028
1,0.14823837758772765
2,0.07615074309620312
3,0.00036534730010433995
4,0.31708663598372383
5,0.09053465596594923
6,0.1162119567339323
7,0.5642561151714228
8,0.0016444444444444445
9,0.16027692730382387
10,0.12348149749459801
11,0.48463977306801903
12,0.14054787966881854
13,0.29968433714789644
14,0.0798626601259388
15,0.13753601226860013
16,0.11421476847908275
17,0.2985376951811317
18,0.12642943810296756
19,0.08045474927068812
20,0.04958657369311878
21,0.1991007210210887
22,0.012036900169750502
23,0.17971750632216899
24,0.199723107933508
25,0.32790975511241716
26,0.18361776555836823
27,0.2926981451897045
28,0.42924533645019464
29,0.15706981565400738
30,0.24959400818226454
31,0.1754884920320947
32,0.3407366270710433
33,0.1176485212057459
34,0.3120387665734656
35,0.03822471621879491
36,0.13696675814674444
37,0.22001776978611332
38,0.3610432184736006
39,0.4508946994354631
40,0.23962514024453943
41,0.19672919266019356
42,0.2641434704030397
43,0.1707582176833644
44,0.06667406861229161
45,0.2470519574705378
46,0.03307985800748959
47,0.12747912492534474
48,0.07298331444878912
49,0.03545143232928499
50,0.22346654021902843
51,0.24688963527020533
52,0.08756772038866982
53,0.006125537916128471
54,0.07890598456584808
55,0.06467975879615366
56,0.08206389886579216
57,0.1838207117330583
58,0.07328348716267706
59,0.05095439967213768
60,0.05826514613912243
61,0.034308610404499354
62,0.3671156150745497
63,0.0011746031746031743
64,0.5087704978902269
65,0.5377731399696108
66,0.030928012139960877
67,0.3596817757763921
68,0.005615044766679413
69,0.294519474454574
70,0.0469583662979092
71,0.0007331261111881602
72,0.0002298090050058076
73,0.013603263403263403
74,0.17755021189986006
75,0.0795531400879947
76,0.3296353655254452
77,0.1498368092830594
78,0.12944575667502506
79,0.05469434779030479
80,3.008895866038723e-05
81,0.25762706281236775
82,0.23684524525406855
83,0.4754790651290222
84,0.3153999861748139
85,0.12651919127606545
86,0.17791135407123426
87,0.17730514819507032
88,0.10416991739632267
89,0.3228283888120945
90,0.5004045049336819
91,0.07018288747802363
92,0.0
93,0.24099544771526024
94,0.20723779554479266
95,0.3065353691117172
96,0.057621849042433476
97,0.0017818302387267904
98,0.39242966944808283
99,0.12384993475054422
100,0.039488601896951886
101,0.43817418047109014
102,0.020307475531004943
103,0.040471121332440664
104,0.27189192675531965
105,0.03681473291620393
106,0.18070935756603765
107,0.38244453250852833
108,0.050512825142807055
109,0.04280252303246185
110,0.0007578786346395378
111,0.0217211004849352
112,0.11650687308371006
113,0.0011936507936507936
114,8.755568755568755e-05
115,0.060665560603536534
116,0.38222725494684345
117,0.04093233354624985
118,0.26490804742087937
