,probability
0,0.2918476063950977
1,0.1753906000490843
2,0.07927390466821384
3,0.01417711075198995
4,0.239929231501403
5,0.17732993917449022
6,0.06314646151881653
7,0.34990590723854836
8,0.012240321168223036
9,0.28977839081095785
10,0.20513212518410961
11,0.5841595549594886
12,0.17618613103581682
13,0.19561649722647678
14,0.11966393335493086
15,0.18229360590099727
16,0.17043858981411802
17,0.32423319484692953
18,0.0823505234478093
19,0.09698513383621914
20,0.07573474407814858
21,0.25410446235669265
22,0.03634582619811012
23,0.07865833399499479
24,0.2743236827388015
25,0.23091561057402965
26,0.19380136951714166
27,0.3192778873847764
28,0.4111977266110685
29,0.10112746031113226
30,0.2826885806038067
31,0.2366636144407061
32,0.3789404734844509
33,0.07998079432360342
34,0.22591343524122162
35,0.10020956361046642
36,0.22314686258790692
37,0.22624258672352401
38,0.2622828663041475
39,0.3577421617596262
40,0.27909264278901424
41,0.19742767866988972
42,0.2544016109780644
43,0.21726223578013376
44,0.05119774246213073
45,0.17469249151760308
46,0.02947669889194541
47,0.20704528579543952
48,0.07706835645132896
49,0.058802324001092136
50,0.12887659627022965
51,0.24236827340274247
52,0.18935336255988197
53,0.043614865040162945
54,0.154562142539347
55,0.059467637637264564
56,0.14148351982400176
57,0.22879292278015972
58,0.10912634620218675
59,0.1453155365692148
60,0.12617921124213216
61,0.09005744032468022
62,0.3237951022268228
63,0.02138217682217318
64,0.2915222297537988
65,0.4425257621236076
66,0.08314962525817615
67,0.3235057888502891
68,0.028076004486699484
69,0.2855433491127759
70,0.06562542670667214
71,0.03278388856948543
72,0.021436126641590864
73,0.03227688719897023
74,0.10823780693364579
75,0.07962835561473271
76,0.18739174845989237
77,0.17229257060029418
78,0.21863629879189067
79,0.11126451227726292
80,0.026487551835796454
81,0.23877422404147994
82,0.1837324974822828
83,0.3789787338755995
84,0.2583664376442013
85,0.1224802374314658
86,0.16598723026182813
87,0.22438139494268555
88,0.12728036180413285
89,0.30989045183576497
90,0.446338287556452
91,0.13423699844961823
92,0.02564614350746458
93,0.3750968447250186
94,0.15234571972926092
95,0.2948533685447904
96,0.07247334014535234
97,0.014444499304686035
98,0.37306799835027815
